entity_type,placemark_name,placemark_address,mapped_address,latitude,longitude,razao_social,cnpj,telefone,responsavel,logradouro,numero,complemento,bairro,cidade,estado,cep,inicio_recebimento,termino_recebimento
Contrato assinado,Scattini Funilaria,"Al,. dos Nhambiquaras 1542 São Paulo 04090-003","Alameda Dos Nhambiquaras 1542, São Paulo - São Paulo, 04090, Brazil",-23.613824,-46.665755, Scattini Funilaria e Pintura de Autos Ltda, 52.644.093/0001-90, (11) 5543-9622, Junior," Al,. dos Nhambiquaras", 1542,, Moema, São Paulo, SP, 04090-003, 8, 6
Contrato assinado,Oficina Marques (Vila Mascote),Av. Santa Catarina 2580 São Paulo 04378-200,"Avenida Santa Catarina 2580, São Paulo - São Paulo, 04378, Brazil",-23.655885,-46.655282, Oficina Marques Funilaria e Pintura Ltda, 07.427.476/0001-52, (11) 5535-1903, Cae, Av. Santa Catarina, 2580,, Vila Mascote, São Paulo, SP, 04378-200, 8, 5
Contrato assinado,Oficina Marques (Santo Amaro),Av. Santo Amaro 4408 São Paulo 04556-500,"Avenida Santo Amaro 4408, São Paulo - São Paulo, 04556, Brazil",-23.62176,-46.684211, Marques e Marques Funilaria e Pintura Ltda, 07.427.481/001-65, (11) 5535-1903, Cae, Av. Santo Amaro, 4408,, Brooklin, São Paulo, SP, 04556-500, 8, 5
Contrato assinado,Ponce e Filho,R. Butiá 42 São Paulo 03346-010,"Rua Butia 42, São Paulo - São Paulo, 03346, Brazil",-23.55892,-46.570322, Ponce & Filho Ltda, 54.824.826/0001-02, (11) 2965-7383, Emilio, R. Butiá, 42,, Vila Reg. Feijó, São Paulo, SP, 03346-010, 8, 5
Contrato assinado,Dimas Norte,Av. Gen. Ataliba Leonel 1727 São Paulo 02033-010,"Avenida General Ataliba Leonel 1727, São Paulo - São Paulo, 02033, Brazil",-23.500517,-46.61311, Fiola Reparadora de Veiciulos Eireli , 17.237.668/0001-50, (11) 2904-8400, Fiola, Av. Gen. Ataliba Leonel, 1727,, Carandiru, São Paulo, SP, 02033-010, 8, 5
Contrato assinado,Coronato,Av. Santa Marina 1520 São Paulo 05036-001,"Avenida Santa Marina 1520, São Paulo - São Paulo, 05036, Brazil",-23.512051,-46.692602, Coronato Reparação Automotiva Ltda, 10.764.089/0001-16, (11) 36110934, Elcio, Av. Santa Marina, 1520,, Água Branca, São Paulo, SP, 05036-001, 8, 6
Contrato assinado,Evolution,R. dos Italianos 708 São Paulo 01131-000,"Rua Dos Italianos 708, São Paulo - São Paulo, 01131, Brazil",-23.523587,-46.644255, Evolution Express Funilaria e Pintura Ltda, 11.027.040/0001-43, (11) 3225-3200, Silvio, R. dos Italianos, 708,, Bom Retiro, São Paulo, SP, 01131-000, 8, 5
Contrato assinado,Quatrocentos,R. dos Inocentes 537 São Paulo 04764-050,"Rua Dos Inocentes 537, São Paulo - São Paulo, 04764, Brazil",-23.673614,-46.710305, Oficina Quatrocentos Funilaria e Pintura Ltda, 45.703.923/0001-48, (11) 5541-3100, Celso, R. dos Inocentes, 537,, Socorro, São Paulo, SP, 04764-050, 7, 5
Contrato assinado,Dikar,R. Marabá 80 São Bernardo do Campo 09635-040,,,, Auto Nog Peças e Serviços Eireli, 06.272.146/0001-72, (11) 4362-9700, Nogueira, R. Marabá, 80,, Rudge Ramos, São Bernardo do Campo, SP, 09635-040, 8, 5
Contrato assinado,New Fenix,R. Amador Bueno 430 Osasco 06230-100,,,, New Fenix Reparação Automotiva Ltda, 14.523.083/0001-08, (11) 4376-4376 , Rodrigo Souza, R. Amador Bueno, 430,, Piratininga, Osasco, SP, 06230-100, 8, 5
Contrato assinado,Volens Reparações,R. Bandeirantes 362 Diadema 09912-230,"Rua Bandeirantes, Conceição, Diadema - São Paulo, 09912, Brazil",-23.689742,-46.611458, Marco Zancanaro Simião, 07.588.879/0001-83, (11) 4055-5755, Fatima Ivone Simiao, R. Bandeirantes, 362,, Conceição, Diadema, SP, 09912-230, 8, 6
Contrato assinado,Goias Car (São Caetano),Av. Goiás 2323 São Caetano do Sul 09550-050,"Avenida Goias 2323, Santa Paula, São Caetano Do Sul - São Paulo, 09550, Brazil",-23.616538,-46.553553, Goias Car São Caetano Serviços Automotivos Eireli, 42.176.360/0001-99, (11) 4228-6166, Adilio Inácio da Silva, Av. Goiás, 2323, e número 2346, Barcelona, São Caetano do Sul, SP, 09550-050, 8, 5
Contrato assinado,Goias Car (Santo Andre),Av. Queirós dos Santos 1700 Santo Andre 09015-000,"Avenida Queirós Dos Santos, Casa Branca, Santo André - São Paulo, 09015, Brazil",-23.664454,-46.515331, Goias Car Santo Andre Serviços Automotivos Eireli, 42.162.004/0001-16, (11) 4435-1230, Adilio Inácio da Silva, Av. Queirós dos Santos, 1700,, Centro, Santo Andre, SP, 09015-000, 8, 5
Contrato assinado,Solução Automotiva,R. Salvador Peluso Basile 215 Taboão da Serra 05755-010,,,, Solução Automotiva Serviços de Recuperação de Veiculos Ltda, 67.539.114/0001-85, (11) 4787-2380, André , R. Salvador Peluso Basile, 215,, Jd. Santa Rosa, Taboão da Serra, SP, 05755-010, 8, 5
Contrato assinado,Personal Garage,R. Ceará 115 Barueri 06465-100,,,, VCA Serviços Automotivos Eireli , 04.634.375/0001-64, (11) 4133-0660, Andrea - Paulo, R. Ceará, 115,, Alphaville Empresarial, Barueri, SP, 06465-100, 8, 6
Contrato assinado,Quadro Rodas Mais,Av. Monteiro Lobato 2037 Guarulhos 07190-000,"Avenida Monteiro Lobato 2037, Fátima, Guarulhos - São Paulo, 07191, Brazil",-23.464829,-46.508881, Passos Fernandes Reparações Automotivas Eireli, 36.597.103/0001-28, (11) 4378-3633, Hely, Av. Monteiro Lobato, 2037,, Vila Fatima, Guarulhos, SP, 07190-000, 8, 6
Contrato assinado,Torque Tamboré,Av. Aruanã 641 Barueri 06460-010,,,, Torque Tamboré Serviços Automotivos Eireli, 24.253.580/0001-97, (11) 4195-4681, Valeria, Av. Aruanã, 641,, Tamboré, Barueri, SP, 06460-010, 8, 6
Contrato assinado,Solicar,Av. Jacu-Pêssego 5550 São Paulo  08260-005,"Avenida Jacu-Pêssego 5550, São Paulo - São Paulo, 08260, Brazil",-23.560231,-46.44558, Solicar Serviços Automotivos Ltda, 18.119.494/0001-93, (11) 2364-7897, Enio, Av. Jacu-Pêssego, 5550,, Itaquera, São Paulo , SP, 08260-005, 8, 5
Contrato assinado,Centro Automotivo GL,Estr. Ary Domingues Mandu 325 Itapecerica da Serra 06855-000,,,, UL Santos Centro Automotivo, 23.166.992/0001-27, (11) 4668-1424, Unilson, Estr. Ary Domingues Mandu, 325,, Embu Mirim, Itapecerica da Serra, SP, 06855-000, 8, 6
Contrato assinado,Funilaria Paulista,R. Palestra Itália 619 São Paulo 05005-030,"Rua Palestra Itália São Paulo - São Paulo, 05005, Brazil",-23.527647,-46.680685, Funilaria Paulista Express Ltda, 08.167.077/0001-62, (11) 97720-4141, Daniele, R. Palestra Itália, 619,, Perdizes, São Paulo, SP, 05005-030, 8, 6
Contrato assinado,Corifeu Automec,Av. Corifeu de Azevedo Marques 1202 São Paulo 05582-001,"Avenida Corifeu De Azevedo Marques 1202, São Paulo - São Paulo, 05582, Brazil",-23.573588,-46.725866, Corifeu Automec Serviços Automotivos Ltda, 07.878.244/0001-10, (11) 3722-0755, Vanessa, Av. Corifeu de Azevedo Marques, 1202,, Butantã, São Paulo, SP, 05582-001, 8, 6
Contrato assinado,Celio´s Car Taboão,R. Brígida Oliveira Ferreira 56 Taboão da Serra 06773-010,,,, Celio s Car Restauradora de Veiculos Eireli, 06.537.698/0001-65, (11) 4173-8425, Celio, R. Brígida Oliveira Ferreira, 56,, Parque São Joaquim, Taboão da Serra, SP, 06773-010, 8, 6
Contrato assinado,CB Car,R. Lapa 227 Barueri 06419-020,"Rua Lapa, Cruz Preta, Barueri - São Paulo, 06419, Brazil",-23.481332,-46.885632, CB Serviços Automotivos Ltda, 24.521.642/001-02, (11)4552-3206, Keily, R. Lapa, 227,, Chácara Marco, Barueri, SP, 06419-020, 8, 6
Contrato assinado,Nicola Garage,R. Barra Funda 308 São Paulo 01152-000,,,, Nicola Garage Serviços Automotivos Ltda, 40.340.323/0001-49, (11) 3666-6655, Joel, R. Barra Funda, 308,, Barra Funda, São Paulo, SP, 01152-000, 8, 6
Contrato assinado,Seadriccar,R. Basília 195 Itaquaquecetuba 08572-630,,,, Seadriccar Comércio e Serviços Ltda, 04.955.202/0001-48, (11) 4647-5782, Adriana, R. Basília, 195,, Vila Miranda, Itaquaquecetuba, SP, 08572-630, 8, 6
Contrato assinado,Jotecar,Estr. do Campo Limpo 2067 São Paulo 05777-001,"Estrada Do Campo Limpo 2067, São Paulo - São Paulo, 05777, Brazil",-23.632536,-46.772315, Jotecar Serviços Automotivos LTDA, 02.498.794/0001-90, (11) 3834-9066, Sergio Bueno, Estr. do Campo Limpo, 2067,, Vila Prel, São Paulo, SP, 05777-001, 8, 6
Contrato assinado,EcoFix ,Av. Conselheiro Carrão 1436 São Paulo 03402-001,,,, Mit Serviços de Reparação de Automóveis Ltda, 04.773.190/001-30, (11) 2619-0277, Dimas, Av. Conselheiro Carrão, 1436,, Conselheiro Carrão, São Paulo, SP, 03402-001, 8, 6
Contrato assinado,MsFix,R. Blumenau 49 São Paulo 05319-020,"Rua Blumenau 49, São Paulo - São Paulo, 05319, Brazil",-23.536358,-46.72733, Msfix Serviços de Reparação de Automóveis Ltda, 11.440.623/0001-00, (11) 3834-7777, Alexandre, R. Blumenau, 49,, Vl Leopoldina, São Paulo, SP, 05319-020, 8, 6
Contrato assinado,Auto Palace,R. Quitanduba 267 São Paulo 05516-030,"Rua Quitanduba 267, São Paulo - São Paulo, 05516, Brazil",-23.581047,-46.716869, Auto Palace Mecanica Funilaria e Pintura Ltda, 06.911.469/001-69, (11) 3721-2001, Felipe, R. Quitanduba, 267,, Butantã, São Paulo, SP, 05516-030, 8, 6
Contrato assinado,Club  Car,R. Clímaco Barbosa 191 São Paulo 01523-000,"Rua Climaco Barbosa 191, São Paulo - São Paulo, 01523, Brazil",-23.563902,-46.618506, Clubcar Veiculos Ltda, 10.437.521/0001-64, (11) 3346-2582, Fábio, R. Clímaco Barbosa, 191,, Cambuci, São Paulo, SP, 01523-000, 8, 6
