nome_da_oficina,full_address,latitude,longitude,cep,razao_social,cnpj,telefone,responsavel,logradouro,numero,complemento,bairro,cidade,estado,inicio_recebimento,termino_recebimento
Scattini Funilaria,"Al,. dos Nhambiquaras 1542 Moema São Paulo SP 04090-003 ",-23.6112234,-46.6636607,04090-003,Scattini Funilaria e Pintura de Autos Ltda,52.644.093/0001-90,(11) 5543-9622,Junior,"Al,. dos Nhambiquaras",1542,,Moema,São Paulo,SP,8:00:00 AM,6:00:00 PM
Oficina Marques (Vila Mascote),Av. Santa Catarina 2580 Vila Mascote São Paulo SP 04378-200 ,-23.6562648,-46.655485,04378-200,Oficina Marques Funilaria e Pintura Ltda,07.427.476/0001-52,(11) 5535-1903,Cae,Av. Santa Catarina,2580,,Vila Mascote,São Paulo,SP,8:00:00 AM,5:00:00 PM
Oficina Marques (Santo Amaro),Av. Santo Amaro 4408 Brooklin São Paulo SP 04556-500 ,-23.6216384,-46.6845705,04556-500,Marques e Marques Funilaria e Pintura Ltda,07.427.481/001-65,(11) 5535-1903,Cae,Av. Santo Amaro,4408,,Brooklin,São Paulo,SP,8:00:00 AM,5:45:00 PM
Ponce e Filho,R. Butiá 42 Vila Reg. Feijó São Paulo SP 03346-010 ,-23.5588674,-46.5703805,03346-010,Ponce & Filho Ltda,54.824.826/0001-02,(11) 2965-7383,Emilio,R. Butiá,42,,Vila Reg. Feijó,São Paulo,SP,8:00:00 AM,5:30:00 PM
Dimas Norte,Av. Gen. Ataliba Leonel 1727 Carandiru São Paulo SP 02033-010 ,-23.4999513,-46.6126825,02033-010,Fiola Reparadora de Veiciulos Eireli ,17.237.668/0001-50,(11) 2904-8400,Fiola,Av. Gen. Ataliba Leonel,1727,,Carandiru,São Paulo,SP,8:00:00 AM,5:00:00 PM
Coronato,Av. Santa Marina 1520 Água Branca São Paulo SP 05036-001 ,-23.5116367,-46.6926754,05036-001,Coronato Reparação Automotiva Ltda,10.764.089/0001-16,(11) 36110934,Elcio,Av. Santa Marina,1520,,Água Branca,São Paulo,SP,8:00:00 AM,6:00:00 PM
Evolution,R. dos Italianos 708 Bom Retiro São Paulo SP 01131-000 ,-23.5238023,-46.644144,01131-000,Evolution Express Funilaria e Pintura Ltda,11.027.040/0001-43,(11) 3225-3200,Silvio,R. dos Italianos,708,,Bom Retiro,São Paulo,SP,8:00:00 AM,5:00:00 PM
Quatrocentos,R. dos Inocentes 537 Socorro São Paulo SP 04764-050 ,-23.6731984,-46.7104603,04764-050,Oficina Quatrocentos Funilaria e Pintura Ltda,45.703.923/0001-48,(11) 5541-3100,Celso,R. dos Inocentes,537,,Socorro,São Paulo,SP,7:30:00 AM,5:30:00 PM
Dikar,R. Marabá 80 Rudge Ramos São Bernardo do Campo SP 09635-040 ,-23.650866,-46.5696532,09635-040,Auto Nog Peças e Serviços Eireli,06.272.146/0001-72,(11) 4362-9700,Nogueira,R. Marabá,80,,Rudge Ramos,São Bernardo do Campo,SP,8:00:00 AM,5:48:00 PM
New Fenix,R. Amador Bueno 430 Piratininga Osasco SP 06230-100 ,-23.5190307,-46.7922508,06230-100,New Fenix Reparação Automotiva Ltda,14.523.083/0001-08,(11) 4376-4376 ,Rodrigo Souza,R. Amador Bueno,430,,Piratininga,Osasco,SP,8:15:00 AM,5:00:00 PM
Volens Reparações,R. Bandeirantes 362 Conceição Diadema SP 09912-230 ,-23.6903894,-46.6114956,09912-230,Marco Zancanaro Simião,07.588.879/0001-83,(11) 4055-5755,Fatima Ivone Simiao,R. Bandeirantes,362,,Conceição,Diadema,SP,8:00:00 AM,6:00:00 PM
Goias Car (São Caetano),Av. Goiás 2323 Barcelona São Caetano do Sul SP 09550-050 ,-23.6162862,-46.5534242,09550-050,Goias Car São Caetano Serviços Automotivos Eireli,42.176.360/0001-99,(11) 4228-6166,Adilio Inácio da Silva,Av. Goiás,2323,e número 2346,Barcelona,São Caetano do Sul,SP,8:00:00 AM,5:30:00 PM
Goias Car (Santo Andre),Av. Queirós dos Santos 1700 Centro Santo Andre SP 09015-000 ,-23.6617701,-46.5164876,09015-000,Goias Car Santo Andre Serviços Automotivos Eireli,42.162.004/0001-16,(11) 4435-1230,Adilio Inácio da Silva,Av. Queirós dos Santos,1700,,Centro,Santo Andre,SP,8:00:00 AM,5:30:00 PM
Solução Automotiva,R. Salvador Peluso Basile 215 Jd. Santa Rosa Taboão da Serra SP 05755-010 ,-23.5993133,-46.7605456,05755-010,Solução Automotiva Serviços de Recuperação de Veiculos Ltda,67.539.114/0001-85,(11) 4787-2380,André ,R. Salvador Peluso Basile,215,,Jd. Santa Rosa,Taboão da Serra,SP,8:00:00 AM,5:00:00 PM
Personal Garage,R. Ceará 115 Alphaville Empresarial Barueri SP 06465-100 ,-23.5082004,-46.8513418,06465-100,VCA Serviços Automotivos Eireli ,04.634.375/0001-64,(11) 4133-0660,Andrea - Paulo,R. Ceará,115,,Alphaville Empresarial,Barueri,SP,8:00:00 AM,6:00:00 PM
Quadro Rodas Mais,Av. Monteiro Lobato 2037 Vila Fatima Guarulhos SP 07190-000 ,-23.4647337,-46.508899,07190-000,Passos Fernandes Reparações Automotivas Eireli,36.597.103/0001-28,(11) 4378-3633,Hely,Av. Monteiro Lobato,2037,,Vila Fatima,Guarulhos,SP,8:00:00 AM,6:00:00 PM
Torque Tamboré,Av. Aruanã 641 Tamboré Barueri SP 06460-010 ,-23.4926955,-46.8333405,06460-010,Torque Tamboré Serviços Automotivos Eireli,24.253.580/0001-97,(11) 4195-4681,Valeria,Av. Aruanã,641,,Tamboré,Barueri,SP,8:00:00 AM,6:00:00 PM
Solicar,Av. Jacu-Pêssego 5550 Itaquera São Paulo  SP 08260-005 ,-23.5390576,-46.4509088,08260-005,Solicar Serviços Automotivos Ltda,18.119.494/0001-93,(11) 2364-7897,Enio,Av. Jacu-Pêssego,5550,,Itaquera,São Paulo ,SP,8:00:00 AM,5:30:00 PM
Centro Automotivo GL,Estr. Ary Domingues Mandu 325 Embu Mirim Itapecerica da Serra SP 06855-000 ,-23.7056758,-46.8443961,06855-000,UL Santos Centro Automotivo,23.166.992/0001-27,(11) 4668-1424,Unilson,Estr. Ary Domingues Mandu,325,,Embu Mirim,Itapecerica da Serra,SP,8:30:00 AM,6:00:00 PM
Funilaria Paulista,R. Palestra Itália 619 Perdizes São Paulo SP 05005-030 ,-23.5260509,-46.6824952,05005-030,Funilaria Paulista Express Ltda,08.167.077/0001-62,(11) 97720-4141,Daniele,R. Palestra Itália,619,,Perdizes,São Paulo,SP,8:00:00 AM,6:00:00 PM
Corifeu Automec,Av. Corifeu de Azevedo Marques 1202 Butantã São Paulo SP 05582-001 ,-23.573455,-46.7256709,05582-001,Corifeu Automec Serviços Automotivos Ltda,07.878.244/0001-10,(11) 3722-0755,Vanessa,Av. Corifeu de Azevedo Marques,1202,,Butantã,São Paulo,SP,8:00:00 AM,6:00:00 PM
Celio´s Car Taboão,R. Brígida Oliveira Ferreira 56 Parque São Joaquim Taboão da Serra SP 06773-010 ,-23.6405345,-46.7956835,06773-010,Celio s Car Restauradora de Veiculos Eireli,06.537.698/0001-65,(11) 4173-8425,Celio,R. Brígida Oliveira Ferreira,56,,Parque São Joaquim,Taboão da Serra,SP,8:00:00 AM,6:00:00 PM
CB Car,R. Lapa 227 Chácara Marco Barueri SP 06419-020 ,-23.4815434,-46.88537,06419-020,CB Serviços Automotivos Ltda,24.521.642/001-02,(11)4552-3206,Keily,R. Lapa,227,,Chácara Marco,Barueri,SP,8:00:00 AM,6:00:00 PM
Nicola Garage,R. Barra Funda 308 Barra Funda São Paulo SP 01152-000 ,-23.5311412,-46.6544191,01152-000,Nicola Garage Serviços Automotivos Ltda,40.340.323/0001-49,(11) 3666-6655,Joel,R. Barra Funda,308,,Barra Funda,São Paulo,SP,8:00:00 AM,6:00:00 PM
Seadriccar,R. Basília 195 Vila Miranda Itaquaquecetuba SP 08572-630 ,-23.5004303,-46.3449644,08572-630,Seadriccar Comércio e Serviços Ltda,04.955.202/0001-48,(11) 4647-5782,Adriana,R. Basília,195,,Vila Miranda,Itaquaquecetuba,SP,8:00:00 AM,6:00:00 PM
Jotecar,Estr. do Campo Limpo 2067 Vila Prel São Paulo SP 05777-001 ,-23.6393386,-46.7670739,05777-001,Jotecar Serviços Automotivos LTDA,02.498.794/0001-90,(11) 3834-9066,Sergio Bueno,Estr. do Campo Limpo,2067,,Vila Prel,São Paulo,SP,8:00:00 AM,6:00:00 PM
EcoFix ,Av. Conselheiro Carrão 1436 Conselheiro Carrão São Paulo SP 03402-001 ,-23.5439645,-46.5465438,03402-001,Mit Serviços de Reparação de Automóveis Ltda,04.773.190/001-30,(11) 2619-0277,Dimas,Av. Conselheiro Carrão,1436,,Conselheiro Carrão,São Paulo,SP,8:00:00 AM,6:00:00 PM
MsFix,R. Blumenau 49 Vl Leopoldina São Paulo SP 05319-020 ,-23.5362116,-46.7269609,05319-020,Msfix Serviços de Reparação de Automóveis Ltda,11.440.623/0001-00,(11) 3834-7777,Alexandre,R. Blumenau,49,,Vl Leopoldina,São Paulo,SP,8:00:00 AM,6:00:00 PM
Auto Palace,R. Quitanduba 267 Butantã São Paulo SP 05516-030 ,-23.581543,-46.7170674,05516-030,Auto Palace Mecanica Funilaria e Pintura Ltda,06.911.469/001-69,(11) 3721-2001,Felipe,R. Quitanduba,267,,Butantã,São Paulo,SP,8:00:00 AM,6:00:00 PM
Club  Car,R. Clímaco Barbosa 191 Cambuci São Paulo SP 01523-000 ,-23.5638332,-46.61841,01523-000,Clubcar Veiculos Ltda,10.437.521/0001-64,(11) 3346-2582,Fábio,R. Clímaco Barbosa,191,,Cambuci,São Paulo,SP,8:00:00 AM,6:00:00 PM
Flama Car,R. Fidalga 289 Pinheiros São Paulo SP 05431-070 ,-23.5571795,-46.6898894,05431-070,Auto Mecânica Flama Car Ltda,49.371.230/0001-56,(11) 3814-1077,Gilmar,R. Fidalga,289,,Pinheiros,São Paulo,SP,8:30:00 AM,5:00:00 PM
Volare Reparos,R. José Félix de Oliveira 473 Granja Viana Cotia SP 06708-415 ,-23.5901137,-46.8399564,06708-415,Lucas Montagner de Camargo,19.081.873/0001-02,(11) 3654-4261,Elisangela,R. José Félix de Oliveira,473,,Granja Viana,Cotia,SP,8:00:00 AM,6:00:00 PM
ArtSystens,Av. Itaquera 2803 Cidade Líder São Paulo SP 08295-000 ,-23.550373,-46.4968799,08295-000,Art Systens Recuperadora Automotiva Eireli,12.298.785/0001-00,(11) 2217-5182,Andrea  ,Av. Itaquera,2803,,Cidade Líder,São Paulo,SP,8:00:00 AM,5:30:00 PM
Donicar,R. Estanislau de Miranda 128 Alto Pedroso São Paulo SP 08011-710 ,-23.4975991,-46.4512972,08011-710,Donicar Comercio de Pçeas e Serviços Eireli,02.347.900/0001-35,(11) 2030-7548,Andrea,R. Estanislau de Miranda,128,,Alto Pedroso,São Paulo,SP,8:00:00 AM,6:00:00 PM
Ribeiro Renovadora,R. José Bento 50 Cambuci São Paulo SP 01523-030 ,-23.5627147,-46.6162307,01523-030,Ribeiro Renovadora de Veiculos e Comercio Ltda,38.889.176/0001-19,(11) 3209-2954,Pedro,R. José Bento,50,,Cambuci,São Paulo,SP,8:00:00 AM,6:00:00 PM
Studio Marilia Botelho,Av. João Manoel 345 Centro Aruja SP 07400-605 ,-23.3953212,-46.3265113,07400-605,Studio Marilia Botelho Soluções em Reparos e Estetica Autom. Ltda,27.933.269/0001-87,(11) 2756-0105,Marília,Av. João Manoel,345,,Centro,Aruja,SP,8:00:00 AM,6:30:00 PM
Boneville,R. Augusto Ferreira de Morais 376 Vila Socorro São Paulo SP 04763-000 ,-23.6671788,-46.7154887,04763-000,Bonneville Funilaria e Pintura  Eireli,10.622.070/0001-35,(11) 3205-0190,Marcos,R. Augusto Ferreira de Morais,376,,Vila Socorro,São Paulo,SP,8:00:00 AM,6:00:00 PM
Mec Max,R. Salém Bechara 169 Centro Osasco SP 06018-170 ,-23.539489,-46.7760856,06018-170,Mec Max Osasco Ltda,02.579.269/001-08,(11) 3685-4099,Mauricio,R. Salém Bechara,169,,Centro,Osasco,SP,8:00:00 AM,6:00:00 PM
Car Solution Express,Av. Paulicéia 1090 Laranjeiras Caieiras SP 07739-605 ,-23.38973,-46.7139688,07739-605,Car Solution Express Serviços Automotivos Eireli,34.559.132/0001-70,(11) 2650-0726 ,Victor,Av. Paulicéia,1090,,Laranjeiras,Caieiras,SP,8:00:00 AM,6:00:00 PM
Oficina RN,"Rua Helvétia, 468 - Campos Elíseos, São Paulo - SP, 01215-010",-23.5335806,-46.6419932,01215-010,Auto Funilaria e Pintura Mathias Ltda,55.538.409/0001-58,(11) 3361-8677,Rodrigo  ,R. Helvetia,468,,Campos Eliseos,São Paulo,SP,8:00:00 AM,5:30:00 PM
Kaizen,"Estr. de Mogi das Cruzes, 1596 - Vila Rio Branco, São Paulo - SP, 03890-000",-23.6260084,-46.7768742,03890-000,Kaizen Serviços Automotivos Ltda,10.671.682/0001-18,(11) 2043-5856,José Pio,Estr. de Mogi das Cruzes,1596,,Vila São Francisco,São Paulo,SP,8:00:00 AM,6:00:00 PM
Martelinho Bacelar,"Av. José Maria Whitaker, Nº 1.028 - Planalto Paulista, São Paulo - SP, 04057-000",-23.606799,-46.6472389,04057-000,Bruno de Oliveira Costa,07.853.981/0001-69,(11) 5858-0624,Monica,Av. José Maria Whitaker,1028,,Planalto Paulista,São Paulo,SP,8:00:00 AM,6:00:00 PM
Vorzug  Auto Technnik,"R. Laguna, 708 - Chácara Santo Antônio, São Paulo - SP, 04728-001",-23.63784,-46.7162124,04728-001,N. Vorzug Auto Technnik Eireli,12.638.846/0001-30,(11) 384-9378,Evelin,R. Laguna,708,,Chácara Sto Antonio,São Paulo,SP,8:00:00 AM,6:00:00 PM
LSP Reparos,"R. Padre Leônidas da Silva, 675 - Cruzeiro, Santa Isabel - SP, 07500-000",-23.29531,-46.2191402,07500-000,Silvia Aparecida dos Santos Comercio ME,06.339.694/001-72,(11) 4656-2059,Luan,R. Padre Leonidas da Silva,675,,Cruzeiro,Santa Isabel,SP,8:00:00 AM,6:00:00 PM
Pró Service,"Av. dos Bandeirantes, 523 - Vila Olímpia, São Paulo - SP, 04553-010",-23.5975733,-46.687594,04553-010,Pró Service Serviços Automotivos Ltda,02.919.080/0001-09,(11) 3842-8282,Wagner,Av. dos Bandeirantes,523,,Vila Olimpia,São Paulo,SP,8:00:00 AM,5:30:00 PM
RL Car,"Av. Sapopemba, 676 / 678 - Vila Reg. Feijó, São Paulo - SP, 03345-000",-23.515245,-46.5726599,03345-000,RL Car Estetica Automotiva Eireli EPP,23.734.702/0001-02,(11) 2021-4592,Lilian,Av. Sapopemba,676,678,Aguá Rasa,São Paulo,SP,8:00:00 AM,6:30:00 PM
Supervisão ,"Av. das Juntas Provisória, 600 - Ipiranga, São Paulo - SP, 04216-010",-23.5910041,-46.5980085,04216-010,Supervisão Reparadora de Veiculo Ltda,60.978.608/0001-17,(11) 2273-0558,,Av. das Juntas Provisória,600,,Ipiranga,São Paulo,SP,8:00:00 AM,6:00:00 PM
Regente,"Av. Dr. Gentil de Moura, 490 - Ipiranga, São Paulo - SP, 04278-000",-23.5965865,-46.6116682,04278-000,Centro Automotivo Regente Ltda EPP,05.384.806/0001-44,(11) 96213-1280,,Av. Dr. Gentil de Moura,490,,Ipiranga,São Paulo,SP,8:00:00 AM,5:45:00 PM
Office Car,Av. dos Autonomistas 6878 Quitaúna Osasco SP 06194-060 ,-23.5238926,-46.8123067,06194-060,Oficina RSL Ltda,03.358.541/0001-84,(11) 3607-8140,Sergio  ,Av. dos Autonomistas,6878,,Quitaúna,Osasco,SP,8:00:00 AM,6:00:00 PM
